epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,937.06,0.30573,0.23457,0.79224,0.96058,0.98663,0.98432,0.96221,0.28399,0.24661,0.79545,0.00037135,0.00037135,0.00037135
129,944.258,0.29504,0.22552,0.78711,0.961,0.98333,0.98105,0.94206,0.31411,0.26614,0.80007,0.0003664,0.0003664,0.0003664
130,951.412,0.27824,0.2163,0.78099,0.96099,0.98378,0.98134,0.94574,0.30002,0.2682,0.79882,0.00036145,0.00036145,0.00036145
131,958.889,0.28275,0.21932,0.7867,0.95432,0.97097,0.98217,0.95851,0.28839,0.26101,0.79899,0.0003565,0.0003565,0.0003565
132,966.399,0.30465,0.23209,0.78608,0.95819,0.96902,0.98322,0.95128,0.30079,0.26744,0.80054,0.00035155,0.00035155,0.00035155
133,973.586,0.28092,0.22358,0.78309,0.96146,0.96876,0.98322,0.95557,0.28622,0.2635,0.79491,0.0003466,0.0003466,0.0003466
134,980.634,0.27744,0.21679,0.78261,0.95832,0.97812,0.98445,0.95414,0.29829,0.26811,0.79624,0.00034165,0.00034165,0.00034165
135,987.815,0.29979,0.23918,0.7939,0.95624,0.98195,0.98499,0.95224,0.29866,0.26163,0.79795,0.0003367,0.0003367,0.0003367
136,994.851,0.30058,0.22915,0.78963,0.94727,0.98226,0.97815,0.94058,0.2949,0.2704,0.79728,0.00033175,0.00033175,0.00033175
137,1001.91,0.2811,0.21523,0.7851,0.95269,0.9881,0.97107,0.94447,0.29143,0.28021,0.79822,0.0003268,0.0003268,0.0003268
138,1008.94,0.29327,0.2261,0.78554,0.95308,0.9881,0.97662,0.94989,0.29752,0.2674,0.79813,0.00032185,0.00032185,0.00032185
139,1015.95,0.27332,0.21736,0.78675,0.96453,0.9881,0.98041,0.95989,0.28628,0.25647,0.79601,0.0003169,0.0003169,0.0003169
140,1023.06,0.28509,0.22553,0.7971,0.96474,0.98389,0.97191,0.93618,0.31416,0.26641,0.79867,0.00031195,0.00031195,0.00031195
